"MOVIES","GENRE","GENRE_OTHER","RATING","VOTES","RUN_TIME","RELEASE_YEAR","TYPE","ACTORS","DIRECTOR"
"Blood Red Sky","Action","Horror, Thriller",6.1,21062,121,2021,"MOVIE","Peri Baumeister","Peter Thorwarth"
"Blood Red Sky","Action","Horror, Thriller",6.1,21062,121,2021,"MOVIE","Carl Anton Koch","Peter Thorwarth"
"Blood Red Sky","Action","Horror, Thriller",6.1,21062,121,2021,"MOVIE","Alexander Scheer","Peter Thorwarth"
"Blood Red Sky","Action","Horror, Thriller",6.1,21062,121,2021,"MOVIE","Kais Setti","Peter Thorwarth"
"Masters of the Universe: Revelation","Animation","Action, Adventure",5,17870,25,2021,"TV","Chris Wood",NA
"Masters of the Universe: Revelation","Animation","Action, Adventure",5,17870,25,2021,"TV","Sarah Michelle Gellar",NA
"Masters of the Universe: Revelation","Animation","Action, Adventure",5,17870,25,2021,"TV","Lena Headey",NA
"Masters of the Universe: Revelation","Animation","Action, Adventure",5,17870,25,2021,"TV","Mark Hamill",NA
"The Walking Dead","Drama","Horror, Thriller",8.2,885805,44,2010,"TV","Andrew Lincoln",NA
"The Walking Dead","Drama","Horror, Thriller",8.2,885805,44,2010,"TV","Norman Reedus",NA
"The Walking Dead","Drama","Horror, Thriller",8.2,885805,44,2010,"TV","Melissa McBride",NA
"The Walking Dead","Drama","Horror, Thriller",8.2,885805,44,2010,"TV","Lauren Cohan",NA
"Rick and Morty","Animation","Adventure, Comedy",9.2,414849,23,2013,"TV","Justin Roiland",NA
"Rick and Morty","Animation","Adventure, Comedy",9.2,414849,23,2013,"TV","Chris Parnell",NA
"Rick and Morty","Animation","Adventure, Comedy",9.2,414849,23,2013,"TV","Spencer Grammer",NA
"Rick and Morty","Animation","Adventure, Comedy",9.2,414849,23,2013,"TV","Sarah Chalke",NA
"Army of Thieves","Action","Crime, Horror",NA,NA,NA,2021,NA,"Matthias Schweighöfer","Matthias Schweighöfer"
"Army of Thieves","Action","Crime, Horror",NA,NA,NA,2021,NA,"Nathalie Emmanuel","Matthias Schweighöfer"
"Army of Thieves","Action","Crime, Horror",NA,NA,NA,2021,NA,"Ruby O. Fee","Matthias Schweighöfer"
"Army of Thieves","Action","Crime, Horror",NA,NA,NA,2021,NA,"Stuart Martin","Matthias Schweighöfer"
"Outer Banks","Action","Crime, Drama",7.6,25858,50,2020,"TV","Chase Stokes",NA
"Outer Banks","Action","Crime, Drama",7.6,25858,50,2020,"TV","Madelyn Cline",NA
"Outer Banks","Action","Crime, Drama",7.6,25858,50,2020,"TV","Madison Bailey",NA
"Outer Banks","Action","Crime, Drama",7.6,25858,50,2020,"TV","Jonathan Daviss",NA
"The Last Letter from Your Lover","Drama",NA,6.8,5283,110,2021,"MOVIE","Shailene Woodley","Augustine Frizzell"
"The Last Letter from Your Lover","Drama",NA,6.8,5283,110,2021,"MOVIE","Joe Alwyn","Augustine Frizzell"
"The Last Letter from Your Lover","Drama",NA,6.8,5283,110,2021,"MOVIE","Wendy Nottingham","Augustine Frizzell"
"The Last Letter from Your Lover","Drama",NA,6.8,5283,110,2021,"MOVIE","Felicity Jones","Augustine Frizzell"
"Dexter","Crime","Drama, Mystery",8.6,665387,53,2006,"TV","Michael C. Hall",NA
"Dexter","Crime","Drama, Mystery",8.6,665387,53,2006,"TV","Jennifer Carpenter",NA
"Dexter","Crime","Drama, Mystery",8.6,665387,53,2006,"TV","David Zayas",NA
"Dexter","Crime","Drama, Mystery",8.6,665387,53,2006,"TV","James Remar",NA
"Never Have I Ever","Comedy",NA,7.9,34530,30,2020,"TV","Maitreyi Ramakrishnan",NA
"Never Have I Ever","Comedy",NA,7.9,34530,30,2020,"TV","Poorna Jagannathan",NA
"Never Have I Ever","Comedy",NA,7.9,34530,30,2020,"TV","Darren Barnet",NA
"Never Have I Ever","Comedy",NA,7.9,34530,30,2020,"TV","John McEnroe",NA
"Virgin River","Drama",NA,7.4,27279,44,2019,"TV","Alexandra Breckenridge",NA
"Virgin River","Drama",NA,7.4,27279,44,2019,"TV","Martin Henderson",NA
"Virgin River","Drama",NA,7.4,27279,44,2019,"TV","Colin Lawrence",NA
"Virgin River","Drama",NA,7.4,27279,44,2019,"TV","Tim Matheson",NA
"Gunpowder Milkshake","Action","Adventure, Thriller",6,17989,114,2021,"MOVIE","Karen Gillan","Navot Papushado"
"Gunpowder Milkshake","Action","Adventure, Thriller",6,17989,114,2021,"MOVIE","Lena Headey","Navot Papushado"
"Gunpowder Milkshake","Action","Adventure, Thriller",6,17989,114,2021,"MOVIE","Carla Gugino","Navot Papushado"
"Gunpowder Milkshake","Action","Adventure, Thriller",6,17989,114,2021,"MOVIE","Michelle Yeoh","Navot Papushado"
"Lucifer","Crime","Drama, Fantasy",8.1,264222,42,2016,"TV","Tom Ellis",NA
"Lucifer","Crime","Drama, Fantasy",8.1,264222,42,2016,"TV","Lesley-Ann Brandt",NA
"Lucifer","Crime","Drama, Fantasy",8.1,264222,42,2016,"TV","Lauren German",NA
"Lucifer","Crime","Drama, Fantasy",8.1,264222,42,2016,"TV","D.B. Woodside",NA
"Fear Street: 1994","Drama","Horror, Mystery",6.2,50148,107,2021,"MOVIE","Kiana Madeira","Leigh Janiak"
"Fear Street: 1994","Drama","Horror, Mystery",6.2,50148,107,2021,"MOVIE","Olivia Scott Welch","Leigh Janiak"
